=========================================================================================================
  EXE-260906-P3-02-T5-c Task 2: T5-b Dynamic Picking Miss Analysis Ledger (59 Misses)
=========================================================================================================
Total Dynamic Misses Analyzed: 59 / 150
Classification Summary:
  (i)   bbox 진입 전 정적 히트 (폐색): 15 건
  (ii)  bbox 통과 후 정적 히트 (관통): 44 건 (L1/R1 중공 구조 및 스플랫 틈새)
  (iii) 무히트 (Zero-hit):             0 건
  합계:                                59 건 (전수 분류 완료, 100%)
---------------------------------------------------------------------------------------------------------
No | Idx | View | Expected | Screen [X,Y] | BBox Entry | Hit Dist | Hit Part | Hits | Dist Diff | Near 5cm | Category
45 | 155 | V3   | box_r1   | [ 716, 275] | Miss       | 2.3084m | static   |    4 |      -    |        0 | 폐색(BBox외곽)
46 | 157 | V3   | box_r1   | [ 712, 394] | 2.5555m    | 2.4051m | static   |    3 | -0.1504m  |        0 | 폐색(전방장애)
47 | 161 | V3   | box_r1   | [ 626, 354] | 2.3186m    | 3.1072m | static   |    6 | +0.7886m  |       42 | 관통(BBox내부/후방)
48 | 162 | V3   | box_r1   | [ 695, 305] | 2.3764m    | 2.3352m | static   |    6 | -0.0412m  |        0 | 폐색(전방장애)
49 | 167 | V3   | box_r1   | [ 539, 413] | 2.2939m    | 3.1056m | static   |    5 | +0.8117m  |        2 | 관통(BBox내부/후방)
50 | 168 | V3   | box_r1   | [ 440, 272] | 2.5398m    | 6.1547m | static   |    3 | +3.6149m  |        0 | 관통(BBox내부/후방)
51 | 169 | V3   | box_r1   | [ 489, 465] | 2.3394m    | 2.7675m | static   |    5 | +0.4281m  |        1 | 관통(BBox내부/후방)
52 | 170 | V3   | box_r1   | [ 647, 315] | 2.3012m    | 2.8629m | static   |    4 | +0.5617m  |       44 | 관통(BBox내부/후방)
53 | 172 | V3   | box_r1   | [ 496, 252] | Miss       | 5.2407m | static   |    9 |      -    |        0 | 폐색(BBox외곽)
54 | 174 | V3   | box_r1   | [ 630, 245] | 2.9390m    | 2.9429m | static   |   13 | +0.0039m  |        3 | 관통(BBox내부/후방)
55 | 183 | V3   | box_r1   | [ 721, 323] | Miss       | 2.2893m | static   |    6 |      -    |        0 | 폐색(BBox외곽)
56 | 189 | V3   | box_r1   | [ 723, 286] | Miss       | 2.2947m | static   |    4 |      -    |        0 | 폐색(BBox외곽)
57 | 190 | V3   | box_r1   | [ 707, 405] | 2.5663m    | 2.4359m | static   |    8 | -0.1304m  |        0 | 폐색(전방장애)
58 | 191 | V3   | box_r1   | [ 630, 340] | 2.3054m    | 3.0802m | static   |    3 | +0.7748m  |       38 | 관통(BBox내부/후방)
59 | 195 | V3   | box_r1   | [ 628, 394] | 2.3863m    | 3.2853m | static   |    2 | +0.8990m  |       39 | 관통(BBox내부/후방)
=========================================================================================================
